电影名称,类型,导演,演员,上映时间,简介,头图
张杰曜北斗巡回演唱会（舞台纪录电影）,纪录片 音乐,李雨濛,张杰,2024-12-20,内地首部华语演唱会电影开启岁末狂欢，沉浸式影院嗨唱，感受张杰神级现场！ 《张杰曜北斗巡回演唱会》是张杰于2023年8月在北京国家体育场-鸟巢举办的“未·LIVE-「曜·北斗」巡回演唱会”三场收官演唱会的舞台纪录电影。该轮巡演于2021年10月在苏州开启，2023年8月在北京收官，共计13座城市，23场演出，总动员人数超过90万人。电影呈现了国民级歌手张杰演唱会现场的极致舞台，还原万人嗨唱盛况，让观众身临其境地感受LIVE的无限魅力！,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c148d36e319bffcf4649f9399064f329.jpg?imageView2/1/w/464/h/644
小小的我,青春 家庭 剧情,杨荔钠,易烊千玺 林晓杰 蒋勤勤 周雨彤,2024-12-27,患有脑瘫的刘春和（易烊千玺 饰）勇敢冲破身心的枷锁，为外婆（林晓杰 饰）圆梦舞台的同时，也弥合了与妈妈（蒋勤勤 饰）的关系，并努力寻求着自己人生的坐标。在经历一个盛夏的蜕变后，他终于踏上了新的旅程。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa33452bf80514ea98b077dc2ff111e40b25.jpg?imageView2/1/w/464/h/644
名侦探柯南：迷宫的十字路口,动画 冒险 悬疑,儿玉兼嗣,高山南 山崎和佳奈 山口胜平 岩居由希子,2024-12-27,东京、大阪、京都发生了5名男子相继被杀的事件。5人是盯上古美术品的盗窃团“源氏萤”的成员，相互以义经和他的随从的名字称呼。剩下的是义经、弁庆、伊势三郎三人。柯南和被委托解决其他佛像盗窃案的毛利小五郎一起来到京都，遇到了追踪源氏萤事件的服部平次，并开始了行动。但是，服部平次被弓狙击了。为了寻找犯人，两个名侦探在京都的小镇上疾驰。原案协助：奥山丰彦、都筑伸一郎、三上顺一、鸟光裕出品：《名侦探柯南》制作委员会（ 株式会社小学馆、 读卖电视放送株式会社、日本电视放送网株式会社、株式会社小学馆制作、 东宝株式会社、 TMS Entertainment）,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3345252914d3e7952942f60ca63d429313.jpg?imageView2/1/w/464/h/644
封神第二部：战火西岐,神话 史诗 战争 动作,乌尔善,黄渤 于适 那尔那茜 陈牧驰,2025-01-29,大年初一，开年封神！姜子牙、姬发带队坚守西岐，家园保卫战一触即发！邓婵玉、闻仲奉商王殷寿之命，率魔家四将等殷商大军征伐西岐，西岐一方得殷郊、雷震子、杨戬、哪吒等相助，更聚全民之力守卫家园。兵戈相对、法术交锋，两大阵营掀起强强对决，关于“封神榜” 的争夺正在继续......,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3345277ebf8160d160d5adcbf963c06244.jpg?imageView2/1/w/464/h/644
破·地狱,剧情 家庭,陈茂贤,黄子华 许冠文 卫诗雅 朱栢康,2024-12-14,婚礼策划师道生（黄子华 饰）因婚礼市场萧条而债台高筑，被迫改行成为葬礼经纪人。红白二事大相径庭，令道生处处碰壁，但最难一关是要得到喃呒师傅文哥（许冠文 饰）的认可。起初因为理念不合，道生与文哥冲突不断，两人的关系岌岌可危。但数次危难时刻文哥的出手相助，以及亲历文哥与女儿文玥（卫诗雅 饰）的相处点滴，道生与文哥之间的心结慢慢解开，也逐渐悟到“破地狱”的真正意义。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143e78d3fa463f67d4ac40af96e5120.jpg?imageView2/1/w/464/h/644
好东西,剧情 爱情 喜剧 家庭,邵艺辉,宋佳 钟楚曦 章宇 赵又廷,2024-11-22,爱逞强的单亲妈妈王铁梅（宋佳 饰）带小孩王茉莉（曾慕梅 饰）搬到新家，结识了所谓清醒恋爱脑的邻居小叶（钟楚曦 饰）。两位性格迥异的女性，一个坚强，一个柔软，一个擅长给人当妈，一个擅长随时撒谎。面对旧创伤和新挑战，她们彼此温暖互相慰藉。 而围绕王铁梅的两个男人，前夫（赵又廷 饰）不时“添乱”，女儿的鼓手老师（章宇 饰）似乎充满新的可能。作为已经觉醒的女人们和学习过性别议题的男人们，会遇到什么新问题？会如何看待自己和世界？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c8b05c26b1b8014449d2ebb6ef8749.jpg?imageView2/1/w/464/h/644
最后的魁拔,动作 动画 奇幻 冒险,王川,刘婧荦,,《最后的魁拔》，由 北京青青树动漫科技有限公司、 霍尔果斯彩条屋影业有限公司联合出品的动画电影已正式启动，正在制作中。2017年11月13日，光线彩条屋影业宣布《 魁拔》系列影片正式重启，并更名为《最后的魁拔》。据悉，这或将成为《魁拔》系列的最终章。《最后的魁拔》首款概念用水墨画风展现了一位赴汤蹈火的英雄形象，与影片标题相呼应：身形已是成年人的主角 蛮吉站在废墟之上，看向手中象征身份的纹耀，表情不得而知。海报背景是 中国风水墨晕染的远山和硝烟，象征着危机四伏。《魁拔》系列中的种种谜团，将在这部电影中悉数得到答案。,https://p0.pipi.cn/basicdata/54ecde2fc7e8d3b860af339c93668375f9524.jpg?imageView2/1/w/464/h/644
误杀3,犯罪 悬疑 剧情,甘剑宇,肖央 佟丽娅 段奕宏 刘雅瑟,2024-12-28,动我女儿？我要你命！ 郑炳睿（肖央 饰）的宝贝女儿婷婷众目睽睽之下，遭神秘绑匪绑架，始终陪伴父女左右的李慧萍（佟丽娅 饰）与他一同展开救女行动。但狡诈绑匪轻松躲避警方负责人张景贤（段奕宏 饰）的密集追捕，更将救女心切的郑、李二人玩弄于股掌之间。绝望间，郑炳睿选择走上了一条通往地狱的救女之路，纵使化身“修罗”也不能放过伤害自己女儿的恶徒！殊不知一场更大的阴谋正在悄然展开，所有卷入其中的人都无法逃脱。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c14d8a77e19bf5c29d5e0c83aa052c5e.jpg?imageView2/1/w/464/h/644
雄狮少年2,动作 喜剧 动画,孙海鹏,李昕 郭皓 陈业雄 蔡欣然,2024-12-14,来上海打工的无名之辈阿娟，为了赚钱给父亲治病，同意代表没落的传武拳馆参加“上海格斗之夜”武术比赛，为此他必须战胜所有的高手、偏见和自己。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c144a114db8193d694790d1e8503d2d4.jpg?imageView2/1/w/464/h/644
狮子王：木法沙传奇,冒险 动作,巴里·詹金斯,亚伦·皮埃尔 张若昀 小凯文·哈里森 张晚意,2024-12-20,回溯传奇狮王辛巴父亲“木法沙”的荣耀之路，揭秘他与迪士尼经典反派“刀疤”（塔卡）之间不为人知的羁绊。一次非凡的相遇，一场改变命运的冒险，当荣耀大地上的一切回到起点，是殊途同归还是背道而驰？这对“狮兄弟”的未来将如何展开？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c145be6e380148b07afb3397b2112bde.jpg?imageView2/1/w/464/h/644
