电影名称,导演,演员,类型,简介,上映时间,头图
结伴前行,,,爱情,电商创业者关西阳和哈萨克斯坦纪录片导演古仁娜，两个年轻人在理想之路上披襟斩棘。关西阳协助古仁娜拍摄，古仁娜也在关西阳做跨境电商失败时鼎力相持，在国家政策扶持、港务区支持下，实现了各自的理想并成为恋人。,2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902864729.jpg
狄仁杰之阴兵借道,李纪正,,,狄仁杰陪夫人回乡扫墓途径盘龙山，听闻当地惊现“阴兵借道”传说，并有人口失踪。狄仁杰向来不相信鬼神论，调查后发现是一群东瀛人在捣鬼。不久后该现象再次出现，最终真相大白，自此，“阴兵借道”事件再未发生。,2028,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2520449621.jpg
斑羚飞渡,常光希 施屹,,剧情 动画,一只母羊因一次特殊的命运选择被迫与狼生活在一起，长期生死与共的相处促使她对整个羊族的品性萌生新的思考，其命运也随之发生巨大逆转。,2026,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2912997579.jpg
天才游戏,程亮,彭昱畅 丁禹兮,悬疑 惊悚,身份迥异的天才少年刘全龙（彭昱畅 饰）与富家少年陈伦（丁禹兮 饰），因缘际会下开始了一场人生交换。两个少年的人生镜像，一场命运的冒险游戏，就此开启。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885584558.jpg
孟婆汤,任鹏远,徐峥,爱情,新导演任鹏远执导，根据知名民间大IP改编的魔幻爱情电影《孟婆汤》，讲述一段绝美动人的爱情故事。,2028,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2337439876.jpg
古日乃,阿古,图布巴图 陶生查干,纪录片,本片讲述了内蒙古阿拉善巴丹吉林沙漠西部的一个偏僻小村(古日乃)有一对花甲老年夫妇围封了几千亩戈壁荒漠，种植梭梭树和胡杨树的写实记录。,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2902505894.jpg
小心我会电到你,高博,徐娇 施展 蔡尧 姜杉,喜剧 爱情 奇幻,心跳超过120就会产生强大电流的“人形充电宝”李贝贝，因捡到了暗恋校花的“深宅漫画大触”张伟画的漫画与他意外相识。两人在互为“工具人”中帮助对方追求彼此心中的“男女神”，慢慢“不断电”地靠近。终于，在校园接力赛的决赛现场，张伟直面内心的声音，向贝贝说出了深藏已久的话。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2781530020.jpg
异人之下,乌尔善 夏鹏,胡先煦 李宛妲 冯绍峰 乔振宇 宋宁峰 娜然 那尔那茜 兰西雅 邬家楷 尚铁龙 陈彼得 熊稳稳 橙一杰 刘纯燕 桑平 刘星辰 隋咏良 韩鹏翼 冯粒 刘金龙 黄小蕾 那威 王劲松,动作 奇幻,"一直隐藏自己异人身份的张楚岚（胡先煦 饰），自从遇到身世神秘的冯宝宝（李宛妲 饰）后，便被卷入不同异人门派争斗的漩涡中。随着张楚岚是神秘功法“炁体源流”传人的秘密被公之于众，异人界围绕他展开了激烈的争夺，哪都通、全性派、天下会、天一门等各方势力一一登场，混战一触即发，而此时张楚岚却意外揭开了当年的秘密……
                                    
                                　　影片改编自国漫《一人之下》。",2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2910944812.jpg
白鹤亮翅,魏书钧,王景春 王鹤棣 颜丙燕 白红标 梁龙,剧情,鹤三（王景春 饰）服刑15年出狱后双亲已故，妻子带着儿子（王鹤棣 饰）早已改嫁，他痛改前非，想踏实走好下半生。做了几个工作，都不是很顺利。打听到儿子在海南但已改名换姓，鹤三当即决定前往，找寻自己多年未见的亲儿子。,2025,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2697673400.jpg
随花飞到天尽头,胡诗云,李梦 宋宁峰,剧情,来到黔南故乡的少年石头看到一个身份不明的疯女人从水中漂来。她的到来打破了村子的平静。村民们警惕她的来历。壁画修复员“死脸”把她安置在了荒废多年的酒坊里，对她陪加关爱，却引起了爱慕“死脸”的村花阿念的嫉妒。 这一天，就在酒坊里，“疯女人”用刺梨果子酿出 了酒。村民们这才记起自己的村子有着古老的酒神传说，连酒神的后人“水牛”也慕名而来，而从此之后，女人却越来越“疯癫”，酒神的传说也逐渐影响着全村人的命运。这个女人到底是谁？她还能回到自己真正的故乡吗？,2028,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2621553508.jpg
